#,Name,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
43,ladybug,200,On flowers,Any except rain,0,40,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Red,Green,Ins37,InsectTentoumushi,FtrInsectTentoumushi,647,pYSSbvXzkuFneRvQ7
16,long locust,200,On the ground,Any weather,0,50,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,Green,Blue,Ins13,InsectShoryobatta,FtrInsectShoryobatta,644,Q57sgq4hQTNZAqWXj
15,Madagascan sunset moth,2500,Flying near flowers,Any except rain,20,5,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,Green,Pink,Ins79,InsectNishikiohtsubamega,FtrInsectNishikiohtsubamega,3484,EFWMygLqnJinFoXSW
42,man-faced stink bug,1000,On flowers,Any except rain,20,20,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Black,Orange,Ins78,InsectJinmenkamemushi,FtrInsectJinmenkamemushi,3483,zvr84Jvf4s6K23XJ5
22,mantis,430,On flowers,Any except rain,0,30,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Green,Green,Ins15,InsectKamakiri,FtrInsectKamakiri,607,Qko2mfz7SaESpMcCv
17,migratory locust,600,On the ground,Any weather,20,10,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Green,Orange,Ins14,InsectTonosamabatta,FtrInsectTonosamabatta,648,dkGagcjd7aZwFEszw
56,miyama stag,1000,On trees (any kind),Any weather,0,35,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins46,InsectMiyamakuwagata,FtrInsectMiyamakuwagata,624,qRGGm6MfuP4Aqdk3M
37,mole cricket,500,Underground (dig where noise is loudest),Any weather,0,30,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,Brown,Yellow,Ins33,InsectOkera,FtrInsectOkera,634,HMWPGeeKw9LP6ucSq
8,monarch butterfly,140,Flying near flowers,Any except rain,0,70,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 5 PM,4 AM – 5 PM,4 AM – 5 PM,NA,NA,NA,4 AM – 5 PM,4 AM – 5 PM,4 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,Orange,Blue,Ins4,InsectOhkabamadara,FtrInsectOhkabamadara,636,BJPKSZMZ2tkLXkWjL
73,mosquito,130,Flying,Any except rain,0,50,NA,NA,NA,NA,NA,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,NA,NA,NA,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 4 AM,Black,White,Ins58,InsectKa,FtrInsectKa,606,3mMZ74qpWWnoizJHh
13,moth,130,Flying near light sources,Any except rain,0,25,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,Beige,Yellow,Ins9,InsectGa,FtrInsectGa,592,7Kd97rqbYBuzuCHgf
23,orchid mantis,2400,On white flowers,Any except rain,20,15,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,White,Pink,Ins16,InsectHanakamakiri,FtrInsectHanakamakiri,598,9b4v6nMrrThHEtNbB
6,paper kite butterfly,1000,Flying near flowers,Any except rain,0,20,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,White,Yellow,Ins73,InsectOhgomamadara,FtrInsectOhgomamadara,3478,hzwridDJE99rPHLrZ
4,peacock butterfly,2500,Flying near blue/purple/black flowers,Any except rain,20,5,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Green,Blue,Ins3,InsectKarasuageha,FtrInsectKarasuageha,610,rguKzmnRkGmBMKzyE
76,pill bug,250,From hitting rocks,Any weather,0,50,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,NA,NA,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,NA,NA,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,Black,Blue,Ins57,InsectDangomushi,FtrInsectDangomushi,590,SGHXhcTzaNJD2z926
38,pondskater,130,On rivers/ponds,Any weather,0,30,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,Black,Blue,Ins27,InsectAmenbo,FtrInsectAmenbo,587,eSBNwiuZforpxNYem
12,Queen Alexandra's birdwing,4000,Flying near flowers,Any except rain,50,5,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,Green,Pink,Ins8,InsectArekisandoratoribaneageha,FtrInsectArekisandoratoribaneageha,586,PbNXeN9GZuJuow7jv
58,rainbow stag,6000,On trees (any kind),Any weather,50,7,NA,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,7 PM – 8 AM,Brown,Black,Ins48,InsectNijiirokuwagata,FtrInsectNijiirokuwagata,631,Egfv6BDtFMeGZPmfh
11,Rajah Brooke's birdwing,2500,Flying near flowers,Any except rain,20,5,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Green,Pink,Ins7,InsectAkaeritoribaneageha,FtrInsectAkaeritoribaneageha,584,gLpHgXT4pPXP4XfWQ
32,red dragonfly,180,Flying near water,Any except rain,0,80,NA,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,Red,Orange,Ins22,InsectAkiakane,FtrInsectAkiakane,585,PKSHvkPphXteXHKuG
18,rice grasshopper,400,On the ground,Any weather,0,20,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Green,Yellow,Ins67,InsectInago,FtrInsectInago,605,ZxXDxrgPvXEHz24Ni
27,robust cicada,300,On hardwood/cedar trees,Any weather,0,70,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Blue,Ins18,InsectMinminzemi,FtrInsectMinminzemi,621,cd5ymnRmRvT4n4yjB
48,rosalia batesi beetle,3000,On tree stumps,Any except rain,20,2,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,Blue,Black,Ins82,InsectRuriboshikamikiri,FtrInsectRuriboshikamikiri,3487,MSTA9vdJmGoDDADrF
55,saw stag,2000,On trees (any kind),Any weather,0,20,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,Ins46,InsectNokogirikuwagata,FtrInsectNokogirikuwagata,632,YQq3iSiBcBAHTWxc2
52,scarab beetle,10000,On trees (any kind),Any weather,50,3,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Beige,Ins43,InsectPurachinakogane,FtrInsectPurachinakogane,639,2HXdFD8s6BmYYMf4u
80,scorpion,8000,On the ground,Any weather,0,2,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,Black,Black,Ins63,InsectSasori,FtrInsectSasori,640,xMzHsHbjvvicZvYxg
75,snail,250,On rocks/bushes,Rain only,0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Green,Ins29,InsectKatatsumuri,FtrInsectKatatsumuri,611,rDNLeQnmJQGxsHpmL
78,spider,600,Shaking trees (hardwood or cedar only),Any weather,0,30,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Yellow,Orange,Ins61,InsectKumo,FtrInsectKumo,619,s2u8kDoMQx7GbAJTR
41,stinkbug,120,On flowers,Any except rain,0,40,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,Green,Yellow,Ins64,InsectKamemushi,FtrInsectKamemushi,608,4u5GZ4z3CyaHhMgqj
79,tarantula,8000,On the ground,Any weather,0,2,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,Brown,Black,Ins62,InsectTaranchura,FtrInsectTaranchura,646,4mto3ZvrZYpJxbm4c
44,tiger beetle,1500,On the ground,Any except rain,20,15,NA,All day,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,Green,Yellow,Ins70,InsectHanmyou,FtrInsectHanmyou,599,zzGvu3797KnMb4LCD
3,tiger butterfly,240,Flying,Any except rain,0,40,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Yellow,Green,Ins2,InsectAgehacho,FtrInsectAgehacho,583,GcSpepwg536mYnNuu
46,violin beetle,450,On tree stumps,Any except rain,0,10,NA,NA,NA,NA,All day,All day,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,Brown,Black,Ins38,InsectBaiorinmushi,FtrInsectBaiorinmushi,650,poAcys5Mr35ELp5PS
29,walker cicada,400,On hardwood/cedar trees,Any weather,0,40,NA,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Pink,Ins19,InsectTsukutsukuhousi,FtrInsectTsukutsukuhousi,649,QdrL4K7seJHvd4ZZM
67,walking leaf,600,Disguised under trees,Any weather,20,10,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Green,Ins34,InsectKonohamushi,FtrInsectKonohamushi,616,kuZaMcg2E7ZX56nio
66,walking stick,600,On trees (any kind),Any weather,20,10,NA,NA,NA,NA,NA,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Brown,Yellow,Ins35,InsectNanafushi,FtrInsectNanafushi,630,WQjgrjYotbwH59vXG
25,wasp,2500,Shaking trees,Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Yellow,Orange,Ins12,InsectHachi,FtrInsectHachi,643,ZEfBHqM6pFEddBezw
71,wharf roach,200,On beach rocks,Any weather,0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Blue,Ins71,InsectFunamushi,FtrInsectFunamushi,591,2fp9ChfPuPdYefTK3
2,yellow butterfly,160,Flying,Any except rain,0,60,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Yellow,Blue,Ins1,InsectMonkicho,FtrInsectMonkicho,625,9d92MqgcnGao8wQjB