Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Filename,Internal ID,Unique Entry ID
aluminum rug,No,1500,375,Gray,Gray,3x2,NA,Saharah,Medium rug,1.0.0,garden,outdoors,None,Slender Rugs,For sale,RugRectAluminumM00,7356,vFkuGbx8Sh2MDLEsq
apple rug,Yes,NFS,1200,Red,Red,3x3,NA,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherAppleM00,7327,5GsjYsaz9NDtQ6QFB
Bell-bag rug,No,NFS,6000,None,None,3x3,1200,Nook Miles Shop,Medium rug,1.2.0,expensive,None,None,Park Rugs,Not for sale,RugOtherBellM00,12214,KfRapmYKpizqQWzCg
black blocks rug,No,1500,375,Black,Gray,3x3,NA,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM03,11104,4kj8FXzMTqvZvqEra
black wooden-deck rug,No,1500,375,Black,Black,3x2,NA,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM03,7382,kQDKkEGfdAjqPxd4w
black-design kitchen mat,No,1000,250,Black,Orange,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS03,7594,G7CAPiAEpYv6QKbsL
blue argyle rug,No,2000,500,Blue,Green,4x3,NA,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,For sale,RugRectArgyleL02,8467,uw8DvCwwBia7ozA72
blue blocks rug,No,1500,375,Blue,Blue,3x3,NA,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM01,11102,Mjxd8kenDFZgTFXcm
blue dotted rug,No,2000,500,Blue,Blue,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectDotL03,7467,JAAx9zSMrjXKKw2ij
blue kilim-style carpet,No,2000,500,Blue,Black,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareKirimL01,9316,MhvdxvmyKtddid2G2
blue kitchen mat,No,1000,250,Blue,Blue,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS02,8394,SLBDbK365pHRnKE5k
blue medium round mat,No,1500,375,Blue,Blue,3x3,NA,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleM02,9546,JfLKCbWRz4CozZYpH
blue message mat,No,1000,250,Blue,Blue,2x1,NA,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,For sale,RugOtherMessageS01,9310,5grLuDzGkNL4DYk4r
blue Persian rug,No,2000,500,Blue,Beige,5x5,NA,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,For sale,RugSquarePersianL01,8035,CDY97qjWg4xG6egyS
blue shaggy rug,No,2000,500,Blue,Blue,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL02,9564,v4ZJPY2ToZPHXp6KH
blue small round mat,No,1000,250,Blue,Blue,2x2,NA,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleS02,9549,BxaqCsC7TqwGdHpib
blue stripes rug,No,2000,500,Blue,White,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectBorderL02,7533,dAHzKeTqwA9wD2yfa
blue vinyl sheet,No,1500,375,Blue,Colorful,3x2,NA,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,For sale,RugRectVinylM01,7404,b8xZjiyqLPWJsgt73
blue wavy rug,No,2000,500,Blue,Light blue,4x3,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,For sale,RugRectWaveL02,7458,SbRQxAyR7EZSRBb4j
blue wedding rug,No,1500,375,None,None,3x2,NA,,Medium rug,1.2.0,party,expensive,wedding,Slender Pattern Rugs,Not for sale,RugRectJuneBrideM00,12462,ghEfAZG8Lt5sb8nt3
blue-design kitchen mat,No,1000,250,Blue,Black,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS01,7595,DiEHu3wPobZXzhhp8
botanical rug,No,2000,500,Green,Green,4x3,NA,Saharah,Large rug,1.0.0,living room,None,None,Slender Pattern Rugs,For sale,RugRectBotanicalL00,7353,nEqsaya7wt6FsWwDC
brown argyle rug,No,2000,500,Brown,Yellow,4x3,NA,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,For sale,RugRectArgyleL03,8468,yrQTuyQr2m6axKkr2
brown kitchen mat,No,1000,250,Brown,Brown,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS00,7341,2ya9gAeftrSe4YSmE
brown shaggy rug,No,2000,500,Brown,Brown,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL01,9563,cAFej6s3C7T3DYykj
brown wooden-deck rug,No,1500,375,Brown,Brown,3x2,NA,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM00,7323,MSPQjkRRMRGNRTeEt
Bunny Day rug,Yes,NFS,2400,None,None,3x3,NA,Crafting,,1.1.0a,fancy,child's room,Bunny Day,Icon Rugs,Not for sale,RugOtherEasterM00,7546,6tC8Zhswobdah6ftE
cherry rug,Yes,NFS,1200,Red,Red,3x3,NA,Crafting,,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherCherryM00,7328,R9Bxb8FQw7Fj2YuCa
colorful vinyl sheet,No,1500,375,Colorful,Colorful,3x2,NA,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,For sale,RugRectVinylM00,7359,FAAQgrJJM4svoYJb8
dark bamboo rug,Yes,NFS,960,Brown,Brown,3x2,NA,Crafting,,1.0.0,zen-style,None,None,Wood Rugs,Not for sale,RugRectBambooM01,11114,yC3qR56GTSs3PZuJi
Earth rug,No,1500,375,Blue,White,3x3,NA,Saharah,Medium rug,1.0.0,space,child's room,None,Icon Rugs,For sale,RugRoundEarthM00,7357,RPF9JQeXN8cD4afuE
fish rug,No,NFS,375,Light blue,Light blue,3x3,NA,Fishing Tourney,,1.0.0,ocean,child's room,None,Icon Rugs,Not for sale,RugOtherFishM00,7361,iWb2Ca8YMDYnpyDrx
fluffy rug,No,1500,375,White,White,3x3,NA,Saharah,Medium rug,1.0.0,fancy,child's room,None,Icon Rugs,For sale,RugOtherCloudM00,7329,DKPzh943uZYKHKsX7
fossil rug,No,1500,375,Purple,White,3x3,NA,Saharah,Medium rug,1.0.0,fancy,child's room,None,Park Rugs,For sale,RugOtherFossilM00,7366,P2tKuDsb8sxfpKXh3
green checked rug,No,2000,500,Green,Purple,4x4,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,For sale,RugSquareCheckQuiltL03,7464,hAYpTXLShJh7p5gcB
green kilim-style carpet,No,2000,500,Green,Green,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareKirimL02,9314,86w3TxnYsZLSzeX2q
green kitchen mat,No,1000,250,Green,Green,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS03,8393,QpRcMgKRTNvayFdy9
green shaggy rug,No,2000,500,Green,Green,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL00,7354,hNWup2nSxzMMsGfyy
green stripes rug,No,2000,500,Green,White,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectBorderL03,7534,DEEzqeCYXaxA8i63W
iron entrance mat,No,1000,250,Black,Black,2x1,NA,Saharah,Small rug,1.0.0,shop,expensive,iron,Slender Rugs,For sale,RugRectIronmatS00,7337,KaHhjd5QbpmmmhkCg
ivory medium round mat,No,1500,375,Beige,White,3x3,NA,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleM00,7325,ucw27wEffTFj9DK4v
ivory simple bath mat,No,1000,250,Beige,Beige,2x1,NA,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,For sale,RugRectBathmatS00,7333,iFx2DHj9qJsY8vzsT
ivory small round mat,No,1000,250,Beige,White,2x2,NA,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleS00,7334,8to7AD6FkrkZkaKX5
lacy rug,No,1500,375,Beige,White,3x3,NA,Saharah,Medium rug,1.0.0,fancy,expensive,None,Shaggy Round Rugs,For sale,RugRoundLaceM00,7368,bzWc6Hh3tAnYcgh3f
ladybug rug,No,NFS,375,Red,Black,3x3,NA,Bug-Off,,1.0.0,fancy,child's room,None,Icon Rugs,Not for sale,RugRoundLadybirdM00,7360,T7T3r6GJqfhndy5xp
light bamboo rug,Yes,NFS,2400,Beige,Brown,3x2,NA,Crafting,,1.0.0,zen-style,None,None,Wood Rugs,Not for sale,RugRectBambooM00,11113,c34AemWJDW8WvYGrm
magic-circle rug,No,1500,375,Purple,Purple,3x3,NA,Saharah,Medium rug,1.0.0,horror,child's room,None,Shaggy Round Rugs,For sale,RugRoundMagicM00,7367,77PHyfuxLmPTgriT2
modern wavy rug,No,2000,500,Colorful,Colorful,4x3,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,For sale,RugRectWaveL00,7350,tfdJqWZ2ETosBdHem
Mom's cool kitchen mat,No,NFS,88,Light blue,Light blue,2x1,NA,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,RugRectMomS00,7402,QR6HWdrKgLeoFAkzR
Mom's lively kitchen mat,No,NFS,88,Yellow,Yellow,2x1,NA,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,RugRectMomS02,9543,MvLXeraTpCoKRqmWA
Mom's playful kitchen mat,No,NFS,88,Pink,Pink,2x1,NA,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,RugRectMomS01,9542,3F5HHssaHXMit7YMH
Mom's reliable kitchen mat,No,NFS,88,Purple,Purple,2x1,NA,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,RugRectMomS03,9541,pe2KbbDbmkWPyd56c
monochromatic dotted rug,No,2000,500,Black,White,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectDotL00,7349,n7kdsLeGa9sFzPfYR
monochromatic wavy rug,No,2000,500,Black,White,4x3,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,For sale,RugRectWaveL01,7456,KEQx7PcEYYP5C8QGW
mush rug,No,1500,375,Red,Red,3x3,NA,Saharah,Medium rug,1.0.0,fancy,child's room,mush,Icon Rugs,For sale,RugOtherMushM00,7363,deKdNh2bu4udJ5zYx
natural wooden-deck rug,No,1500,375,Brown,Brown,3x2,NA,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM01,7380,4xyhHztk2b3GbRKu6
Nook Inc. botanical rug,No,NFS,5000,None,None,3x3,1000,Nook Miles Shop,Medium rug,1.1.0,fancy,living room,None,Park Rugs,Not for sale,RugOtherTanukiM00,12325,WiHenFMXuxj7q2rgq
Nook Inc. rug,No,NFS,5000,Green,Green,3x3,1000,Nook Miles Shop,Medium rug,1.0.0,fancy,child's room,None,Park Rugs,Not for sale,RugOtherLeafM00,7364,HFmdcXn43ApSRKdk4
Nook Inc. silk rug,No,NFS,3000,None,None,4x3,600,Nook Miles Shop,Large rug,1.1.0,facility,shop,None,Park Rugs,Not for sale,RugRectTanukiL00,12396,XQ72LLzAakWbavKFr
orange rug,Yes,NFS,1200,Orange,Orange,3x3,NA,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherOrangeM00,7330,cXGa9CDpwXcCMzQw2
oval entrance mat,No,1000,250,Blue,Blue,2x1,NA,Saharah,Small rug,1.0.0,living room,None,None,Slender Rugs,For sale,RugOtherCountryS00,7370,TJaw3inQooLN9DXGt
peach checked rug,No,2000,500,Pink,Light blue,4x4,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,For sale,RugSquareCheckQuiltL02,7463,QLtQLYyCeg7A28tzC
peach rug,Yes,NFS,1200,Pink,Pink,3x3,NA,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherPeachM00,7331,tqGgxHpeDfRCGRrjY
peach stripes rug,No,2000,500,Pink,White,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectBorderL01,7532,LGhZCR8PgGQJYqST9
pear rug,Yes,NFS,1200,Green,Green,3x3,NA,Crafting,,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherPearM00,7332,hLakk5wPNF2RHRCHR
pink heart rug,No,1500,375,Pink,Pink,3x3,NA,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,For sale,RugOtherHeartM00,7322,TY5kKqhPpxgifmRJF
pink rose rug,No,1500,375,Pink,Pink,3x3,NA,Saharah,Medium rug,1.0.0,fancy,expensive,None,Rose Rug,For sale,RugOtherRoseM00,7365,adYBsXgG3etWwtsds
purple heart rug,No,1500,375,Purple,Pink,3x3,NA,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,For sale,RugOtherHeartM02,7580,LzB8y9NY5cwZJETQy
purple Persian rug,No,2000,500,Purple,Beige,5x5,NA,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,For sale,RugSquarePersianL03,8037,QzKyWFwcBF6DNoMQS
purple shaggy rug,No,2000,500,Purple,Purple,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL03,9562,jYsKTqR44uCHSGbnE
red argyle rug,No,2000,500,Red,Red,4x3,NA,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,For sale,RugRectArgyleL01,8466,JcnvagFXFrtRojuX5
red blocks rug,No,1500,375,Red,Red,3x3,NA,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM00,11101,PWaKA8fJZfRLdgBjP
red carpet,No,1500,375,Red,Red,3x2,NA,Saharah,Medium rug,1.0.0,expensive,None,None,Slender Rugs,For sale,RugRectElegantM00,7348,DrZgYBvviB7CGP3nx
red dotted rug,No,2000,500,Red,Red,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectDotL02,7465,6KoyAtx4QA2BuXKea
red kilim-style carpet,No,2000,500,Red,Red,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareKirimL00,9313,dhvJNNbRm9qDxXrpJ
red medium round mat,No,1500,375,Red,Red,3x3,NA,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleM01,9545,Ev2FGNQPGqW8Nn7fk
red message mat,No,1000,250,Red,Red,2x1,NA,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,For sale,RugOtherMessageS03,9312,uYJPL9oP3tgpZHNhL
red Persian rug,No,2000,500,Red,Beige,5x5,NA,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,For sale,RugSquarePersianL00,7347,ToTG8debi3YH93yqJ
red rose rug,No,1500,375,Red,Red,3x3,NA,Saharah,Medium rug,1.0.0,fancy,expensive,flowers,Rose Rug,For sale,RugOtherRoseM01,8758,cXt7bSZGo8G4MWZ3x
red small round mat,No,1000,250,Red,Red,2x2,NA,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleS01,9548,z6C8NBYbSkshNZG7J
red vinyl sheet,No,1500,375,Red,Colorful,3x2,NA,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,For sale,RugRectVinylM02,7405,2tPPLjzq42Z8wjtNv
red wavy rug,No,2000,500,Red,Yellow,4x3,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,For sale,RugRectWaveL03,7457,pPTXqs45y6k23f62j
red wedding rug,No,1500,375,None,None,3x2,NA,,Medium rug,1.2.0,party,expensive,wedding,Slender Pattern Rugs,Not for sale,RugRectJuneBrideM02,12465,LmxrQZwL5HrEzsHqK
red-and-blue checked rug,No,2000,500,Red,Blue,4x4,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,For sale,RugSquareCheckQuiltL00,7343,zrouM9QCzYKg3kBcc
red-design kitchen mat,No,1000,250,Red,Black,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS00,7340,7KtKd8P5tbGSfG2qZ
retro dotted rug,No,2000,500,Green,Green,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectDotL01,7466,29Pm3PcqEJ3nP36sh
rough rug,No,1000,250,Brown,Brown,2x1,NA,Saharah,Small rug,1.0.0,school,facility,None,Slender Rugs,For sale,RugRectDoormatS00,7324,oEg77tXhJ6GReb7gp
rubber mud mat,No,1000,250,Green,Green,2x1,NA,Saharah,Small rug,1.0.0,school,None,None,Slender Rugs,For sale,RugRectRubberScraperS00,7339,Er4wGFd53SAq3zsGX
shanty mat,No,2000,500,Brown,Beige,4x4,NA,Saharah,Large rug,1.0.0,zen-style,None,None,Simple Rugs,For sale,RugSquareOldStrawL00,7345,jLR8r3aHpRe4yJyxA
shell rug,Yes,NFS,5400,Beige,Pink,3x3,NA,Crafting,,1.0.0,ocean,fancy,shell,Park Rugs,Not for sale,RugOtherShellM00,7362,kC3KJRKazh5c6m2uN
simple green bath mat,No,1000,250,Green,Green,2x1,NA,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,For sale,RugRectBathmatS03,7516,zfRhHqsvfBg5D6CJA
simple medium avocado mat,No,1500,375,Green,Green,3x3,NA,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM03,7524,9BzJWMCmruohLvY8x
simple medium black mat,No,1500,375,Black,Black,3x3,NA,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM07,7539,Nmx4FN5RX5LJ2xRF8
simple medium blue mat,No,1500,375,Blue,Blue,3x3,NA,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM02,7523,7nEjDqYTsZdF3n8Ky
simple medium brown mat,No,1500,375,Brown,Brown,3x3,NA,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM01,7519,FAqsC7JonfkPt3jc2
simple medium orange mat,No,1500,375,Orange,Orange,3x3,NA,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM05,7536,Bt6N5gWJJNtdNg8TC
simple medium purple mat,No,1500,375,Purple,Purple,3x3,NA,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM06,7538,9WryqBnvAMiSF7vJ6
simple medium red mat,No,1500,375,Red,Red,3x3,NA,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM04,7540,yB22Mz4KP2wbzjYtv
simple navy bath mat,No,1000,250,Gray,Gray,2x1,NA,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,For sale,RugRectBathmatS01,7518,AZQdF6gMi89DXP9K3
simple pink bath mat,No,1000,250,Pink,Pink,2x1,NA,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,For sale,RugRectBathmatS02,7517,Lqze8wPcmFatBMFDw
simple small avocado mat,No,1000,250,Green,Green,2x2,NA,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS03,7520,PKfPEbTw8C55Qc5oH
simple small black mat,No,1000,250,Black,Black,2x2,NA,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS07,7543,uSGDYs7hCuxMBTZbi
simple small blue mat,No,1000,250,Blue,Blue,2x2,NA,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS02,7521,Q7FSQ4q6Hzt2YihKH
simple small brown mat,No,1000,250,Brown,Brown,2x2,NA,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS01,7522,aKCpcBCjrn6wWcyw2
simple small orange mat,No,1000,250,Orange,Orange,2x2,NA,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS05,7541,WomwFGQsQgogZNtQf
simple small purple mat,No,1000,250,Purple,Purple,2x2,NA,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS06,7542,h7wpDFdwKgJs2BvgG
simple small red mat,No,1000,250,Red,Red,2x2,NA,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS04,7537,nRakPP7nXacJB3YHX
sloppy rug,No,2000,500,Light blue,Light blue,4x4,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Simple Rugs,For sale,RugOtherSloppyL00,7371,337rrvb9iapfJC4nb
snowflake rug,No,1500,375,Light blue,White,3x3,NA,Saharah,Medium rug,1.0.0,freezing cold,fancy,None,Shaggy Round Rugs,For sale,RugRoundSnowM00,7346,upNaAkxPwQRHP6NXi
tatami mat,No,1500,375,Green,Yellow,3x2,NA,Saharah,Medium rug,1.0.0,zen-style,None,None,Wood Rugs,For sale,RugRectTatamiM00,7369,m7efgfNG3HZR6G29s
tropical rug,No,1500,375,Green,Beige,3x3,NA,Saharah,Medium rug,1.0.0,ocean,None,None,Park Rugs,For sale,RugRoundIslandM00,7358,tjgfDcBRhWQrxhjzk
turquoise heart rug,No,1500,375,Light blue,Light blue,3x3,NA,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,For sale,RugOtherHeartM01,7579,MeN8d4a4YKoFc2zDW
white heart rug,No,1500,375,White,White,3x3,NA,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,For sale,RugOtherHeartM03,7578,ur5qNz9QEkkCEPRDQ
white message mat,No,1000,250,White,White,2x1,NA,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,For sale,RugOtherMessageS00,7338,ey5h5kDoaHvTgEdkj
white rose rug,No,1500,375,White,White,3x3,NA,Saharah,Medium rug,1.0.0,fancy,expensive,flowers,Rose Rug,For sale,RugOtherRoseM03,8757,fWrizz9CC3Lg8apM2
white simple medium mat,No,1500,375,Beige,White,3x3,NA,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM00,7335,vXD2oADv2fg4QRCp6
white simple small mat,No,1000,250,Beige,White,2x2,NA,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS00,7336,vhxZi6oAZWm9gxRfK
white wedding rug,No,1500,375,None,None,3x2,NA,,Medium rug,1.2.0,party,expensive,wedding,Slender Pattern Rugs,Not for sale,RugRectJuneBrideM03,12464,At7cbGksXn6rvhkQr
white wooden-deck rug,No,1500,375,White,White,3x2,NA,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM02,7381,nmBMJkGHnxGdzYzzP
yellow argyle rug,No,2000,500,Yellow,Yellow,4x3,NA,Saharah,Large rug,1.0.0,living room,fancy,None,Slender Pattern Rugs,For sale,RugRectArgyleL00,7352,TEzohiZZfTSxoSNpd
yellow blocks rug,No,1500,375,Yellow,Brown,3x3,NA,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM02,11103,Gb4rwvjZv74CDT8qE
yellow checked rug,No,2000,500,Yellow,Green,4x4,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,For sale,RugSquareCheckQuiltL01,7462,GdqeFkwTpKJLFQpyK
yellow kilim-style carpet,No,2000,500,Yellow,Beige,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareKirimL03,9315,274gPov62L9zR3onG
yellow kitchen mat,No,1000,250,Yellow,Yellow,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS01,8395,CyGFnLgFnD3jrgKio
yellow medium round mat,No,1500,375,Yellow,Yellow,3x3,NA,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleM03,9544,TfKNppy5CiswuZGSw
yellow message mat,No,1000,250,Yellow,Yellow,2x1,NA,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,For sale,RugOtherMessageS02,9311,6NpR38JASvkZDezYq
yellow Persian rug,No,2000,500,Yellow,Beige,5x5,NA,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,For sale,RugSquarePersianL02,8036,HdsBjfD2ongYrBt5m
yellow rose rug,No,1500,375,Yellow,Yellow,3x3,NA,Saharah,Medium rug,1.0.0,fancy,expensive,flowers,Rose Rug,For sale,RugOtherRoseM02,8759,jta8sYzY36aqcjp3T
yellow small round mat,No,1000,250,Yellow,Yellow,2x2,NA,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleS03,9547,FS2ZvZLcRQDHp6hHr
yellow stripes rug,No,2000,500,Yellow,White,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectBorderL00,7351,mJP9gz2YZAcQsWELE
yellow vinyl sheet,No,1500,375,Yellow,Colorful,3x2,NA,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,For sale,RugRectVinylM03,7403,8tMeC24TcYdot9ZuC
yellow-design kitchen mat,No,1000,250,Yellow,Black,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS02,7596,B76hfTkYR2vm96Hfd