Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
apple umbrella,Yes,NFS,1400,Yellow,Red,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaApple0,9948,FPxdw28z9s2gYgjmr
bat umbrella,No,840,210,Black,Black,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaBat0,6919,EZnRx49foq3M36yQ4
beach umbrella,No,770,192,Blue,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaBeach0,9957,3SSFuv6LiH63jych3
bear umbrella,No,1570,392,Brown,Beige,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaBear0,7167,s7KoPpysn27AeC5zi
black chic umbrella,No,1620,405,Black,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace5,12137,p8yg9xiFwPscNDJNg
black lace umbrella,No,750,187,Black,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaRace0,6915,7vuSb5AutpNQA573q
blue dot parasol,No,750,187,Blue,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaPolkadot2,9956,SwKuBi2vT7K365A3p
blue shiny-bows parasol,No,1620,405,Blue,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace2,12134,BxZ4XdtfJEyWyBPFe
blue umbrella,No,770,192,Blue,Blue,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaStandard2,9959,XyJaqSLnBjh5J6vLp
busted umbrella,No,1570,392,Black,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaBroken0,7182,gkHD9GKJT9eAekxWQ
camo umbrella,No,650,162,Green,Beige,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaOutdoor0,6923,RJYB5itM7mDdtWHpv
candy umbrella,No,770,192,Pink,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaGingham0,6926,F6KFg5Yhzgf78pudR
cherry umbrella,Yes,NFS,1400,Red,Red,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaCherry0,9949,YwHY3LQXsDeM2iosy
cherry-blossom umbrella,Yes,NFS,2800,Pink,Green,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaCherryblossom0,9945,vTu5kLPipRb69vJA3
DAL umbrella,No,NFS,1010,Blue,Blue,1x1,NA,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,Yes,Not for sale,UmbrellaDoc0,9560,vTdEjywjFjr8AkePD
eggy parasol,No,750,187,Yellow,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaPolkadot1,9955,qf7Hn5CKMDMBpge9r
exquisite parasol,No,1670,417,Yellow,Pink,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaChina0,7171,tFFuizXunsrHcMbEj
fairy-tale umbrella,No,820,205,Green,Yellow,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaFairytale0,7175,xKBGNFJd2qpWeDWjo
fish umbrella,No,NFS,80,Blue,Light blue,1x1,NA,Fishing Tourney,,1.0.0,Yes,Not for sale,UmbrellaFish0,8768,bvwaqJav8wmjPj2RC
frog umbrella,No,1570,392,Green,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaFrog0,6925,nDBiFvLtf5KeStQNv
gelato umbrella,No,750,187,Colorful,Colorful,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaTricolor0,7180,tupHZa6zDdFvobTEt
ghost umbrella,No,1670,417,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaTeruteru0,6924,83zEbSL3S3dty4YjN
grape umbrella,No,1550,387,Purple,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaGrape0,6911,TJ9cw4XSj64u3uEsx
green chic umbrella,No,1620,405,Green,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace4,12136,u2YWae8oz23XcT4u9
green umbrella,No,770,192,Green,Green,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaStandard3,9960,8Hf4oRy3cQdundDJK
hydrangea umbrella,No,750,187,Light blue,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaHydrangea0,6906,dmFbrs5ALCJG4KpzB
kabuki umbrella,No,1670,417,Purple,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaKabuki0,7177,QenZWqPCSZr9ZCrRh
kiwi umbrella,No,1550,387,Green,Brown,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaKiwi0,6908,R9WBMjgoqLwiR3h76
lacy parasol,No,1550,387,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaLace0,9946,8ND7Jkfb2fxLJaR7n
ladybug umbrella,No,NFS,80,Red,Black,1x1,NA,Bug-Off,,1.0.0,Yes,Not for sale,UmbrellaLadybug0,8767,rHNt3mx5hEEDRSRiD
leaf umbrella,Yes,NFS,300,Green,Green,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaLeaf0,6840,ZpYcNAofgCtnPfLj5
lemon umbrella,No,770,192,Yellow,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaGingham4,9954,yKb3LfnWDwptRPAWK
logo umbrella,No,650,162,Blue,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaLogo0,7172,sFtYCcv9wy78ujaZr
maple-leaf umbrella,Yes,NFS,2800,Orange,Orange,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaAutumn0,7169,b5gL4xdKJPZPjhYZM
melon umbrella,No,770,192,Green,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaGingham1,9951,oFFjNfN2G5BxasAem
mini-flower-print umbrella,No,750,187,Pink,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaFlorets0,6914,G9dRhHQxBzYJB5mmE
mint umbrella,No,770,192,Brown,Green,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaGingham2,9952,F6fPRcpqGqhQ5oq7F
mush umbrella,Yes,NFS,1200,Brown,Beige,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaMushroom0,7174,LLSQNPiMBWXXdTYFo
Nook Inc. umbrella,No,NFS,3500,Green,White,1x1,700,Nook Miles Shop,,1.0.0,Yes,Not for sale,UmbrellaRco0,9561,GX9s8tDymkHYHztY3
orange umbrella,Yes,NFS,1400,Orange,Yellow,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaOrange0,6912,ovb5ZxHTXJtBWQQxF
panda umbrella,No,1570,392,White,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPanda0,7170,AJkrWywbkBfFpke5b
paper parasol,No,870,217,Brown,Green,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaBangasa0,7178,Brvfu2wmEsgfpsfe6
patterned vinyl umbrella,No,750,187,White,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaBoundary0,6918,KzFYhiwG4WmgGuewi
peach umbrella,Yes,NFS,1400,Pink,Green,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaPeach0,9947,e7KPGj99m2g9dvYfe
pear umbrella,Yes,NFS,1400,Yellow,Green,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaPear0,9950,2kKFs5wG5ioHGbGda
petal parasol,No,1590,397,White,Yellow,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaMargaret0,7181,5qqATjxvMpMHmcDns
picnic umbrella,No,770,192,Purple,Pink,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaGingham3,9953,hvv9Bz2ey3iRvSnAL
pineapple umbrella,No,1550,387,Yellow,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPineapple0,6910,ohMyh5kSBGg8Zayyh
pink shiny-bows parasol,No,1620,405,Pink,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace0,7176,PTvmPPNiXMZ4jhBKX
pink umbrella,No,770,192,Pink,Pink,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaSchool0,7164,Cg8DXnxz3AtYJvdPE
purple chic umbrella,No,1620,405,Purple,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacoda0,7183,2dXt6F6XwMf346Zbv
purple shiny-bows parasol,No,1620,405,Purple,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace1,12133,J6FrqXxBPqGNBs4sC
rainbow umbrella,No,840,210,Colorful,Colorful,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaRainbow0,7179,P9bMZJY3n2dtooq5X
raindrop umbrella,No,750,187,Yellow,Light blue,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaRain0,6913,Djdj6KiSLh82BHzqB
red chic umbrella,No,1620,405,Red,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace6,12138,kKoJtAcxMDNKq7tNu
red umbrella,No,770,192,Red,Red,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaStandard1,9958,Z9yCA3wawXdQsbLSs
snowflake umbrella,No,1550,387,Light blue,Light blue,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaCrystal0,6905,r5RwHucDKWJPg7dkv
spider umbrella,No,840,210,Black,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaSpider0,7173,aaQhimbednGniK4NF
strawberry umbrella,No,1550,387,Pink,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaStrawberry0,6907,kKQHooYToACDqoqBm
striped umbrella,No,750,187,Gray,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaStripe0,6916,hF2THDnHbEJWTDT8L
sunny parasol,No,750,187,Yellow,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaSunflower0,6904,thr45xserbQqAm6o4
tartan-check umbrella,No,750,187,Red,Green,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaPlaid0,6917,HjZzRQKbMdXBKYawe
Toad parasol,No,750,187,Red,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaPolkadotRed,5861,HnmPeaovKNwg7ZuBL
two-tone umbrella,No,770,192,Red,Yellow,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaTwocolor0,7166,Da4xWXq9D2RFLnyYj
vinyl umbrella,No,770,192,White,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaVinyl0,7165,q4Eo8vxPLFCL4ppac
watermelon umbrella,No,1550,387,Red,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaWater0,6909,JTchAPvto4vHBJANw
white shiny-bows parasol,No,1620,405,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace3,12135,4btSNLBHRoocAXfgE