INSTNM,CITY,STABBR,ZIP,ADM_RATE,SAT_AVG,PCIP26,COSTT4_A,C150_4_POOLED,PFTFTUG1_EF
Grossmont College,El Cajon,CA,92020-1799,,,0.0016,7956,,0.3546
College of the Sequoias,Visalia,CA,93277-2214,,,0.0066,8109,,0.5413
College of San Mateo,San Mateo,CA,94402-3784,,,0.0038,8278,,0.3567
Ventura College,Ventura,CA,93003-3872,,,0.0035,8407,,0.3824
Oxnard College,Oxnard,CA,93033-6699,,,0.0085,8516,,0.2753
Moorpark College,Moorpark,CA,93021-1695,,,0.0151,8577,,0.4286
Skyline College,San Bruno,CA,94066-1698,,,0,8580,0.2334,0.2307
Glendale Community College,Glendale,CA,91208-2894,,,0.002,9181,,0.4209
Citrus College,Glendora,CA,91741-1899,,,0.0021,9281,,0.4399
Fresno City College,Fresno,CA,93741,,,0.0324,9370,,0.3657
Canada College,Redwood City,CA,94061-1099,,,0.018,9432,,0.1658
Bakersfield College,Bakersfield,CA,93305-1299,,,0.0305,9472,0.1704,0.419
Foothill College,Los Altos Hills,CA,94022,,,0.008,9612,0.6175,0.2337
Reedley College,Reedley,CA,93654,,,0.1063,9655,,0.4029
Porterville College,Porterville,CA,93257,,,0,9734,,0.5386
Mt San Antonio College,Walnut,CA,91789-1399,,,0,9758,,0.4008
Allan Hancock College,Santa Maria,CA,93454-6399,,,0.0069,9932,,0.3977
Antelope Valley College,Lancaster,CA,93536-5426,,,0.0193,9973,0.2864,0.3841
Palomar College,San Marcos,CA,92069-1487,,,0.0012,10204,,0.347
City College of San Francisco,San Francisco,CA,94112-1898,,,0.0032,10333,,0.2489
Santa Ana College,Santa Ana,CA,92706-3398,,,0.0022,10446,0.2313,0.2572
Lake Tahoe Community College,South Lake Tahoe,CA,96150,,,0,10476,,0.2632
Long Beach City College,Long Beach,CA,90808-1706,,,0.0364,10568,,0.4245
College of the Redwoods,Eureka,CA,95501-9300,,,0,10608,,0.3281
Southwestern College,Chula Vista,CA,91910-7299,,,0.0098,10713,,0.4477
Monterey Peninsula College,Monterey,CA,93940-4799,,,0.0266,10718,,0.2805
MiraCosta College,Oceanside,CA,92056-3899,,,0.0018,10754,,0.3206
Cypress College,Cypress,CA,90630-5897,,,0,10825,,0.2966
Los Medanos College,Pittsburg,CA,94565,,,0.0167,10878,,0.3787
College of the Canyons,Santa Clarita,CA,91355-1899,,,0,10984,,0.3862
Imperial Valley College,Imperial,CA,92251-0158,,,0.0012,11077,,0.622
Gavilan College,Gilroy,CA,95020,,,0.0031,11111,,0.2902
De Anza College,Cupertino,CA,95014,,,0.0133,11144,,0.5218
Yuba College,Marysville,CA,95901,,,0.0111,11182,,0.3837
Cuyamaca College,El Cajon,CA,92019,,,0.0042,11194,,0.2267
Cerro Coso Community College,Ridgecrest,CA,93555-9571,,,0,11313,,0.1695
Diablo Valley College,Pleasant Hill,CA,94523,,,0.0217,11519,,0.3754
Chabot College,Hayward,CA,94545,,,0.0331,11583,,0.284
Butte College,Oroville,CA,95965-8399,,,0.0041,11595,,0.4692
Mt San Jacinto Community College District,San Jacinto,CA,92583-2399,,,0,11634,,0.3712
Santa Monica College,Santa Monica,CA,90405-1628,,,0,11844,0.3019,0.4394
Fullerton College,Fullerton,CA,92832-2095,,,0.0142,11866,,0.3384
San Diego Miramar College,San Diego,CA,92126-2999,,,0.063,11912,,0.1755
Pasadena City College,Pasadena,CA,91106-2003,,,0,11958,,0.4543
Rio Hondo College,Whittier,CA,90601-1616,,,0.0052,11991,0.1889,0.2402
College of Alameda,Alameda,CA,94501,,,0,12038,,0.138
San Diego City College,San Diego,CA,92101-4787,,,0.0362,12068,,0.212
Los Angeles Southwest College,Los Angeles,CA,90047-4899,,,0.0018,12190,,0.1517
Los Angeles City College,Los Angeles,CA,90029,,,0,12272,,0.1436
Columbia College,Sonora,CA,95370,,,0.0071,12282,,0.278
San Diego Mesa College,San Diego,CA,92111-4998,,,0.0423,12382,0.1973,0.2102
Los Angeles Trade Technical College,Los Angeles,CA,90015-4181,,,0,12422,,0.1621
Irvine Valley College,Irvine,CA,92618-0301,,,0.0012,12449,,0.4111
Solano Community College,Fairfield,CA,94534-3197,,,0.0051,12558,,0.3511
Riverside City College,Riverside,CA,92506,,,0,12578,,0.3182
Shasta College,Redding,CA,96003,,,0,12745,,0.3377
Santa Rosa Junior College,Santa Rosa,CA,95401-4395,,,0.0034,12842,,0.3505
Taft College,Taft,CA,93268,,,0.0359,12882,,0.1611
California State University-Dominguez Hills,Carson,CA,90747-0005,0.4791,,0.03,13027,0.3837,0.3155
Contra Costa College,San Pablo,CA,94806-3195,,,0.0441,13070,,0.2658
Sierra College,Rocklin,CA,95677-3397,,,0.0269,13072,,0.392
Berkeley City College,Berkeley,CA,94704,,,0,13200,,0.2032
West Los Angeles College,Culver City,CA,90230-3519,,,0.0029,13369,0.1312,0.1439
California State University-Los Angeles,Los Angeles,CA,90032-8506,0.637,870,0.042,13385,0.4553,0.4788
Saddleback College,Mission Viejo,CA,92692-3635,,,0.0022,13578,,0.3299
American River College,Sacramento,CA,95841-4286,,,0,13611,,0.1879
College of Marin,Kentfield,CA,94904-2590,,,0.0096,13691,,0.2966
West Hills College-Coalinga,Coalinga,CA,93210,,,0,13846,,0.287
California Christian College,Fresno,CA,93727,1,,0,13869,0.1765,0.1667
San Bernardino Valley College,San Bernardino,CA,92410-2798,,,0.0069,14005,,0.303
College of the Siskiyous,Weed,CA,96094-2899,,,0.0156,14027,,0.5374
Lassen Community College,Susanville,CA,96130,,,0.0057,14029,,0.1947
Mendocino College,Ukiah,CA,95482,,,0.0103,14039,,0.306
Los Angeles Mission College,Sylmar,CA,91342-3200,,,0.0088,14234,,0.2513
Sacramento City College,Sacramento,CA,95822-1386,,,0.021,14372,,0.1897
Golden West College,Huntington Beach,CA,92647-2710,,,0.0067,14397,,0.2854
Los Angeles Valley College,Valley Glen,CA,91401-4096,,,0.0054,14512,,0.1967
East Los Angeles College,Monterey Park,CA,91754-6099,,,0,14617,,0.2966
College of the Desert,Palm Desert,CA,92260,,,0.0089,14656,,0.4632
Cosumnes River College,Sacramento,CA,95823-5799,,,0.0217,14679,,0.2501
Cabrillo College,Aptos,CA,95003,,,0.01,14686,,0.4257
Victor Valley College,Victorville,CA,92395-5850,,,0,14703,,0.4402
Barstow Community College,Barstow,CA,92311,,,0,14789,,0.2203
Modesto Junior College,Modesto,CA,95350-5800,,,0,14839,0.1749,0.3457
Los Angeles Pierce College,Woodland Hills,CA,91371-0002,,,0,14954,,0.282
West Valley College,Saratoga,CA,95070-5698,,,0.0139,14989,,0.3636
Mission College,Santa Clara,CA,95054-1897,,,0.0788,15052,,0.1905
Cerritos College,Norwalk,CA,90650-6298,,,0.0093,15112,,0.3305
Merritt College,Oakland,CA,94619-3196,,,0,15172,,0.1195
Palo Verde College,Blythe,CA,92225,,,0,15185,,0.0813
Chaffey College,Rancho Cucamonga,CA,91737-3002,,,0.0045,15215,,0.2967
El Camino College-Compton Center,Compton,CA,90221-5393,,,0,15261,,0.2451
Orange Coast College,Costa Mesa,CA,92626,,,0.0159,15303,,0.389
Cuesta College,San Luis Obispo,CA,93403-8106,,,0.0023,15316,,0.4262
Laney College,Oakland,CA,94607,,,0,15330,,0.1402
Merced College,Merced,CA,95348-2898,,,0.0057,15400,,0.5094
El Camino Community College District,Torrance,CA,90506,,,0.0068,15461,,0.4392
Hartnell College,Salinas,CA,93901,,,0.0073,15859,,0.2314
Santa Barbara City College,Santa Barbara,CA,93109-2394,,,0.0031,15882,,0.4097
San Jose City College,San Jose,CA,95128-2798,,,0.0029,15892,,0.2312
Feather River Community College District,Quincy,CA,95971-9124,,,0.0153,15907,0.3898,0.2971
California State University-San Bernardino,San Bernardino,CA,92407-2397,0.5814,877,0.027,15988,0.5332,0.5094
California State University-Fresno,Fresno,CA,93740,0.5354,907,0.0248,16078,0.5749,0.5792
San Joaquin Delta College,Stockton,CA,95207,,,0,16084,,0.4831
Los Angeles Harbor College,Wilmington,CA,90744-2397,,,0,16347,,0.2565
California State University-Bakersfield,Bakersfield,CA,93311-1099,0.6782,,0.0671,16481,0.4074,0.5198
Ohlone College,Fremont,CA,94539-0390,,,0.0133,16547,,0.3277
California State University-Stanislaus,Turlock,CA,95382-0299,0.7434,,0.0498,16588,0.5618,0.5391
California State University-Northridge,Northridge,CA,91330,0.4824,918,0.0341,16591,0.5022,0.4937
Evergreen Valley College,San Jose,CA,95135-1598,,,0.0031,16732,,0.3287
Bethesda University,Anaheim,CA,92801,,,0,16877,0.5111,0.2371
California State University-Fullerton,Fullerton,CA,92831-3599,0.4823,1017,0.0323,17049,0.6209,0.4999
Napa Valley College,Napa,CA,94558-6236,,,0,17068,,0.367
California State University-Long Beach,Long Beach,CA,90840-0115,0.3189,1052,0.0377,18192,0.6788,0.5128
California State University-Sacramento,Sacramento,CA,95819-2694,0.7194,937,0.0251,18535,0.4734,0.4819
Crafton Hills College,Yucaipa,CA,92339-1799,,,0.0052,18790,,0.3025
Santa Barbara Business College-Santa Maria,Santa Maria,CA,93454,,,0,19913,0.5631,0.3103
Santa Barbara Business College-Bakersfield,Bakersfield,CA,93309,,,0,20028,0.4665,0.3071
California State University-East Bay,Hayward,CA,94542,0.6975,,0.0501,20303,0.4654,0.3993
Lincoln University,Oakland,CA,94612-2801,,,0,21195,0.697,0.8
California State Polytechnic University-Pomona,Pomona,CA,91768,0.5916,1045,0.0453,21223,0.6521,0.5408
Shasta Bible College and Graduate School,Redding,CA,96002,1,,0,22005,0.4255,0.6
San Diego State University,San Diego,CA,92182,0.3464,1132,0.0389,22056,0.7058,0.5499
California State University Maritime Academy,Vallejo,CA,94590,0.682,,0,22204,0.5993,0.7045
Southern California University of Health Sciences,Whittier,CA,90604,,,0.1364,22229,,1
San Francisco State University,San Francisco,CA,94132,0.682,979,0.0729,22396,0.5218,0.5374
California State University-Chico,Chico,CA,95929-0150,0.6525,997,0.0239,22417,0.6578,0.6442
Coastline Community College,Fountain Valley,CA,92708-2597,,,0,22519,,0.0619
San Jose State University,San Jose,CA,95192-0001,0.5344,1039,0.0251,22780,0.5946,0.4265
Humboldt State University,Arcata,CA,95521-8299,0.7709,983,0.1135,23139,0.4561,0.5957
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,95207-3896,,,0,23493,0.3875,0.1803
Bryan University,Tempe,AZ,85281,,,0,23538,0.1719,0.8227
Sonoma State University,Rohnert Park,CA,94928-3609,0.7627,990,0.0477,24000,0.5993,0.6852
Life Pacific College,San Dimas,CA,91773-3298,0.9732,889,0,24838,0.4268,0.4769
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,0.2949,1270,0.0651,25300,0.7764,0.8474
Epic Bible College,Sacramento,CA,95841,0.7857,,0,25468,0.3333,0.0385
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,90046-7660,0.6406,,0,25800,0.2596,0.7353
National University,La Jolla,CA,92037-1011,,,0.0154,26620,0.3614,0.0064
Cogswell College,San Jose,CA,95134,0.8256,,0,27446,0.2641,0.6604
Argosy University-The Art Institute of California-San Francisco,San Francisco,CA,94102-4908,,,0,28125,0.3041,0.3444
Alliant International University-San Diego,San Diego,CA,92131,0.8571,,0,28258,,
Interior Designers Institute,Newport Beach,CA,92660,,,0,28824,,0.1111
Design Institute of San Diego,San Diego,CA,92121,,,0,29002,0.5,0.1333
Golf Academy of America-San Diego,Carlsbad,CA,92008,,,0,29220,,0.0976
Argosy University-The Art Institute of California-San Diego,San Diego,CA,92108-4423,,,0,29567,0.4405,0.3953
University of California-San Diego,La Jolla,CA,92093,0.3566,1324,0.2165,31043,0.8724,0.6622
University of California-Irvine,Irvine,CA,92697,0.4065,1206,0.1073,31198,0.8764,0.7254
University of California-Riverside,Riverside,CA,92521,0.6634,1078,0.1491,31494,0.73,0.8111
Southern California Seminary,El Cajon,CA,92019-1108,,,0,31893,0.5714,0.1429
University of California-Los Angeles,Los Angeles,CA,90095-1405,0.1799,1334,0.1548,33078,0.9112,0.6607
Coleman University,San Diego,CA,92123-1506,,,0,33695,0.647,0.3448
University of California-Davis,Davis,CA,95616-8678,0.4228,1218,0.1975,33904,0.8502,0.6049
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,0.5785,1201,0.1927,34608,0.7764,0.7856
University of California-Berkeley,Berkeley,CA,94720,0.1693,1422,0.1053,34924,0.9165,0.7087
University of California-Santa Barbara,Santa Barbara,CA,93106,0.3577,1281,0.1075,34998,0.8157,0.7077
Columbia College Hollywood,Tarzana,CA,91356-1411,0.5419,,0,35282,0.5246,0.6667
Thomas Aquinas College,Santa Paula,CA,93060,0.7461,1249,0,35724,0.8547,0.87
American Jewish University,Los Angeles,CA,90077-1519,0.5979,,0.1,36286,0.5714,0.3333
Simpson University,Redding,CA,96003-8606,0.5215,985,0.0277,37437,0.4817,0.4958
Fresno Pacific University,Fresno,CA,93702-4709,0.6848,968,0.0275,37451,0.5844,0.2331
Academy of Art University,San Francisco,CA,94105,,,0,38000,0.3699,0.343
Hope International University,Fullerton,CA,92831-3199,0.3211,942,0,38570,0.4225,0.4078
Musicians Institute,Hollywood,CA,90028,0.8047,,0,39289,0.4317,0.7019
William Jessup University,Rocklin,CA,95765-3707,0.7251,1023,0.0251,40390,0.6049,0.5155
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,92614-5610,0.5399,,0,41168,,0.6421
Pacific Union College,Angwin,CA,94508-9707,0.4655,986,0.0767,41700,0.4746,0.7131
California Baptist University,Riverside,CA,92504-3297,0.6399,988,0.0382,41826,0.6006,0.5478
La Sierra University,Riverside,CA,92505-8247,0.4593,906,0.1309,42033,0.5114,0.6124
Platt College-San Diego,San Diego,CA,92115-3919,,,0,42343,0.7615,1
Vanguard University of Southern California,Costa Mesa,CA,92626,0.7024,942,0.0216,42564,0.558,0.6846
San Diego Christian College,Santee,CA,92071,0.533,938,0.0575,43473,0.4179,0.3393
The Master's University and Seminary,Santa Clarita,CA,91321-1200,0.8318,1098,0.0854,43846,0.6878,0.6853
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,94108-5805,0.3632,,0,43881,0.651,0.425
Laguna College of Art and Design,Laguna Beach,CA,92651,0.3919,,0,44317,0.568,0.506
Newschool of Architecture and Design,San Diego,CA,92101,0.9908,,0,44971,0.3265,0.3214
Concordia University-Irvine,Irvine,CA,92612-3203,0.6504,1048,0.0617,45687,0.5717,0.7148
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,90015-1421,0.4145,,0,46291,0.6671,0.5032
Point Loma Nazarene University,San Diego,CA,92106-2899,0.6942,1149,0.079,46683,0.7288,0.6279
American Conservatory Theater,San Francisco,CA,94108-5834,,,0,47827,,
Azusa Pacific University,Azusa,CA,91702-7000,0.6146,1035,0.017,48284,0.6939,0.6877
Woodbury University,Burbank,CA,91510-7846,0.6624,1012,0,48733,0.4534,0.4821
Biola University,La Mirada,CA,90639-0001,0.6485,1093,0.0555,48857,0.7095,0.7747
Mount Saint Mary's University,Los Angeles,CA,90049-1599,0.8592,923,0.0374,50406,0.6009,0.6468
Notre Dame de Namur University,Belmont,CA,94002-1908,0.9668,913,0.1349,50415,0.4674,0.6215
University of La Verne,La Verne,CA,91750-4401,0.4806,1040,0.0363,50603,0.655,0.4278
Marymount California University,Rancho Palos Verdes,CA,90275-6299,,,0,50758,0.3622,0.6718
Holy Names University,Oakland,CA,94619-1699,0.4846,888,0.0432,50806,0.4233,0.6552
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,90028,0.7701,,0,51581,,0.9205
Whittier College,Whittier,CA,90601,0.6945,1040,0.0795,53966,0.6445,0.8548
California Lutheran University,Thousand Oaks,CA,91360-2787,0.6419,1107,0.0867,54373,0.7004,0.6591
Menlo College,Atherton,CA,94027-4301,0.4087,1010,0,56035,0.4685,0.6255
Otis College of Art and Design,Los Angeles,CA,90045-3505,0.9295,,0,56519,0.6568,0.7224
University of the Pacific,Stockton,CA,95211-0197,0.6599,1180,0.1253,56899,0.6733,0.8142
Westmont College,Santa Barbara,CA,93108-1089,0.8276,1171,0.0831,57387,0.7685,0.8618
California College of the Arts,San Francisco,CA,94107-2247,0.6485,,0,59502,0.5954,0.6368
Mills College,Oakland,CA,94613,0.8441,1109,0.069,60311,0.6603,0.6377
Loyola Marymount University,Los Angeles,CA,90045-2659,0.5387,1244,0.0535,60371,0.8116,0.7789
San Francisco Conservatory of Music,San Francisco,CA,94102-6011,0.4175,,0,60410,0.7176,0.7297
University of San Diego,San Diego,CA,92110-2492,0.5138,1237,0.1182,61004,0.7851,0.7543
University of San Francisco,San Francisco,CA,94117-1080,0.7137,1150,0.0531,61072,0.7157,0.7822
Saint Mary's College of California,Moraga,CA,94575,0.8039,1093,0.0554,61095,0.724,0.7904
Art Center College of Design,Pasadena,CA,91103,0.6925,,0,61420,0.7073,0.5556
University of Redlands,Redlands,CA,92373-0999,0.7475,1101,0.0459,61542,0.7331,0.8136
Santa Clara University,Santa Clara,CA,95053,0.483,1321,0.0715,62964,0.8668,0.9095
California Institute of Technology,Pasadena,CA,91125,0.0807,1555,0.0723,63471,0.9215,0.9833
Chapman University,Orange,CA,92866,0.5403,1225,0.0356,64501,0.7909,0.8029
California Institute of the Arts,Valencia,CA,91355-2397,0.236,,0,64686,0.6109,0.8333
Pomona College,Claremont,CA,91711-6319,0.0944,1442,0.1711,64870,0.9569,0.9809
San Francisco Art Institute,San Francisco,CA,94133-2299,0.9261,,0,65453,0.3876,0.6354
Pitzer College,Claremont,CA,91711-6101,0.1374,,0.0888,65880,0.8883,0.9404
Scripps College,Claremont,CA,91711-3905,0.2988,1353,0.1517,66060,0.8709,0.9408
Pepperdine University,Malibu,CA,90263,0.3687,1251,0.0276,66152,0.8539,0.8156
Claremont McKenna College,Claremont,CA,91711-6400,0.0944,1413,0.0681,66325,0.9245,0.9359
Occidental College,Los Angeles,CA,90041-3392,0.4581,1315,0.1373,67046,0.8416,0.9194
University of Southern California,Los Angeles,CA,90089,0.1662,1395,0.0461,67064,0.9215,0.6786
Southern California Institute of Architecture,Los Angeles,CA,90013-1822,,,0,67225,0.5327,0.3088
Harvey Mudd College,Claremont,CA,91711,0.1287,1496,0.0674,69355,0.9252,0.9817
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,,,,,,
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,92647,,,0,,,1
Avalon School of Cosmetology-Alameda,Alameda,CA,94501,,,0,,,0.6442
American Baptist Seminary of the West,Berkeley,CA,94704-3029,,,,,,
American Film Institute Conservatory,Los Angeles,CA,90027-1625,,,,,,
American Beauty College,West Covina,CA,91790,,,0,,,0.7813
American Career College-Los Angeles,Los Angeles,CA,90004,,,0,,,0.4116
Associated Technical College-Los Angeles,Los Angeles,CA,90017-1604,,,0,,,1
Associated Technical College-San Diego,San Diego,CA,92101,,,0,,,1
Bellus Academy-National City,National City,CA,91950,,,0,,,1
Brownson Technical School,Anaheim,CA,92805,,,0,,,1
Phillips Graduate University,Chatsworth,CA,91311,,,,,,
California Institute of Integral Studies,San Francisco,CA,94103,,,0,,,
University of California-Hastings College of Law,San Francisco,CA,94102-4978,,,,,,
University of California-San Francisco,San Francisco,CA,94143-0244,,,,,,
Sofia University,Palo Alto,CA,94303,,,0,,,
California Beauty School,Modesto,CA,95354,,,0,,,0.5849
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,CA,94103,,,0,,,
California Hair Design Academy,La Mesa,CA,91942-5055,,,0,,,1
California Western School of Law,San Diego,CA,92101-3046,,,,,,
Career Academy of Beauty,Garden Grove,CA,92845,,,0,,,0.881
Casa Loma College-Van Nuys,Van Nuys,CA,91405,0.6031,,0,,,0.4
CET-San Diego,San Diego,CA,92102,,,0,,,1
CET-San Jose,San Jose,CA,95110,,,0,,,1
CET-El Centro,El Centro,CA,92243,,,0,,,1
CET-Colton,Colton,CA,92324,,,0,,,1
CET-Watsonville,Watsonville,CA,95076,,,0,,,1
CET-Salinas,Salinas,CA,93901,,,0,,,1
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,0.25,,0,,0.8,
Church Divinity School of the Pacific,Berkeley,CA,94709-1211,,,,,,
Citrus Heights Beauty College,Citrus Heights,CA,95610-1410,,,0,,,1
Claremont Graduate University,Claremont,CA,91711-6160,,,,,,
Milan Institute-Visalia,Visalia,CA,93277,,,0,,,1
Clovis Adult Education,Clovis,CA,93611,,,0,,,0.4509
Coba Academy,Anaheim,CA,92801,,,0,,,1
Western University of Health Sciences,Pomona,CA,91766-1854,,,,,,
International School of Beauty Inc,Palm Desert,CA,92260-2740,,,0,,,1
Dell'Arte International School of Physical Theatre,Blue Lake,CA,95525-0816,,,0,,,
Dominican School of Philosophy & Theology,Berkeley,CA,94708-1816,,,,,,
Elegance International,Hollywood,CA,90028,,,0,,,1
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,90403,,,,,,
Empire College,Santa Rosa,CA,95403-2126,,,0,,0.5845,0.4856
Federico Beauty Institute,Sacramento,CA,95834,,,0,,,0.8816
Fielding Graduate University,Santa Barbara,CA,93105-3538,,,,,,
Five Branches University,Santa Cruz,CA,95062,,,,,,
Hair California Beauty Academy,Orange,CA,92867,,,0,,,0.3571
Redondo Beach Beauty College,Redondo Beach,CA,90278-3111,,,0,,,1
Franciscan School of Theology,Oceanside,CA,92057,,,,,,
Fredrick and Charles Beauty College,Eureka,CA,95501,,,0,,,1
Fuller Theological Seminary,Pasadena,CA,91182,,,,,,
Gemological Institute of America-Carlsbad,Carlsbad,CA,92008,,,0,,,1
Glendale Career College,Glendale,CA,91203,,,0,,,0.4795
Golden Gate University-San Francisco,San Francisco,CA,94105-2968,,,0,,,
Graduate Theological Union,Berkeley,CA,94709,,,,,,
Salon Success Academy-Riverside,Riverside,CA,92506,,,0,,,1
Hilltop Beauty School,Daly City,CA,94014,,,0,,,0.4706
Pacifica Graduate Institute,Carpinteria,CA,93013,,,,,,
Institute for Business and Technology,Santa Clara,CA,95051-1303,,,0,,,0.7551
Toni & Guy Hairdressing Academy-Santa Monica,Santa Monica,CA,90401,,,0,,,1
Bellus Academy-El Cajon,El Cajon,CA,92021,,,0,,,1
John F. Kennedy University,Pleasant Hill,CA,94523-4817,,,0,,,
Lancaster Beauty School,Lancaster,CA,93534,,,0,,,1
Life Chiropractic College West,Hayward,CA,94545-2800,,,,,,
Loma Linda University,Loma Linda,CA,92350,,,0,,,
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,90033-1084,,,0,,,
Lu Ross Academy,Ventura,CA,93001-2729,,,0,,,1
Lyle's College of  Beauty,Fresno,CA,93710,,,0,,,0.5
Lytles Redwood Empire Beauty College Inc,Santa Rosa,CA,95403,,,0,,,1
MTI Business College Inc,Stockton,CA,95207-4349,,,0,,,1
MTI College,Sacramento,CA,95841-9817,0.7725,,0,,,0.2997
Brightwood College-Sacramento,Sacramento,CA,95821,,,0,,,0.9091
Brightwood College-San Diego,San Diego,CA,92123,,,0,,,0.7241
Brightwood College-Vista,Vista,CA,92083-7736,,,0,,,0.959
Modern Beauty Academy,Oxnard,CA,93030,,,0,,,1
Brightwood College-Los Angeles-Van Nuys,Van Nuys,CA,91406,,,0,,,0.5529
Moler Barber College,Oakland,CA,94609-2419,,,0,,,
Middlebury Institute of International Studies at Monterey,Monterey,CA,93940,,,0,,,
National Holistic Institute,Emeryville,CA,94608-2008,,,0,,,1
Newberry School of Beauty,Granada Hills,CA,91344-7401,,,0,,,0.8
North Adrian's College of Beauty Inc,Modesto,CA,95350-2381,,,0,,,1
North-West College-Pomona,Pomona,CA,91768,,,0,,,1
North-West College-West Covina,West Covina,CA,91790,1,,0,,,0.8966
North-West College-Pasadena,Pasadena,CA,91101,,,0,,,1
Oceanside College of Beauty,Oceanside,CA,92054-5356,,,0,,,1
Concorde Career College-San Diego,San Diego,CA,92113-1964,1,,0,,,1
Palo Alto University,Palo Alto,CA,94304-1337,,,0,,,
Pacific Oaks College,Pasadena,CA,91103,,,0,,,
Pacific School of Religion,Berkeley,CA,94709,,,,,,
Pacific States University,Los Angeles,CA,90010-2263,,,0,,,1
Professional Institute of Beauty,El Monte,CA,91731,,,0,,,1
Pardee RAND Graduate School,Santa Monica,CA,90407-2138,,,,,,
Shasta School of Cosmetology,Redding,CA,96003,,,0,,,1
Salon Success Academy-Upland,Upland,CA,91786,,,0,,,0.8372
Salon Success Academy-Corona,Corona,CA,92881,,,0,,,1
Argosy University-San Francisco Bay Area,Alameda,CA,94501,,,0,,0.2222,0.125
Rosemead Beauty School,Rosemead,CA,91770-1639,,,0,,,0.8178
Dongguk University-Los Angeles,Los Angeles,CA,90020-1704,,,,,,
Samuel Merritt University,Oakland,CA,94609,,,0,,,
San Francisco Theological Seminary,San Anselmo,CA,94960-0000,,,,,,
San Joaquin College of Law,Clovis,CA,93612-1312,,,,,,
San Joaquin Valley College-Visalia,Visalia,CA,93291-9283,,,0,,,0.5325
Saybrook University,Oakland,CA,94612-1943,,,,,,
Sierra College of Beauty,Merced,CA,95340,,,0,,,0.8182
Trinity Law School,Santa Ana,CA,92705,,,,,,
Charles A Jones Career and Education Center,Sacramento,CA,95824-1529,,,0,,,1
South Baylo University,Anaheim,CA,92801-1701,,,0,,,
South Coast College,Orange,CA,92868-2609,,,0,,,0.2174
Concorde Career College-Garden Grove,Garden Grove,CA,92840-9201,0.9046,,0,,,1
Starr King School for the Ministry,Berkeley,CA,94709-1209,,,,,,
Marshall B Ketchum University,Fullerton,CA,92831-1699,,,,,,
Southwestern Law School,Los Angeles,CA,90010-1106,,,,,,
Claremont School of Theology,Claremont,CA,91711-3199,,,,,,
United Education Institute-Huntington Park Campus,Huntington Park,CA,90255,,,0,,,1
Concorde Career College-San Bernardino,San Bernardino,CA,92408-3403,0.6411,,0,,,1
Universal College of Beauty Inc-Los Angeles 1,Los Angeles,CA,90044,,,0,,,0.6667
Concorde Career College-North Hollywood,North Hollywood,CA,91606-3134,0.8805,,0,,,1
The Santa Barbara and Ventura Colleges of Law at Ventura,Ventura,CA,93003,,,,,,
Walden University,Minneapolis,MN,55401,,,0,,0.0625,
Waynes College of Beauty,Salinas,CA,93906-2830,,,0,,,1
Carrington College-Sacramento,Sacramento,CA,95826,0.4588,,0,,,0.2647
Westminster Theological Seminary in California,Escondido,CA,92027,,,,,,
The Wright Institute,Berkeley,CA,94704-1796,,,,,,
Western State College of Law at Argosy University,Irvine,CA,92618-3601,,,,,,
Thomas Jefferson School of Law,San Diego,CA,92101,,,,,,