TransectID,Distance,HuntCat,NumHouseholds,LandUse,Veg_Rich,Veg_Stems,Veg_liana,Veg_DBH,Veg_Canopy,Veg_Understory,RA_Apes,RA_Birds,RA_Elephant,RA_Monkeys,RA_Rodent,RA_Ungulate,Rich_AllSpecies,Evenness_AllSpecies,Diversity_AllSpecies,Rich_BirdSpecies,Evenness_BirdSpecies,Diversity_BirdSpecies,Rich_MammalSpecies,Evenness_MammalSpecies,Diversity_MammalSpecies
1,7.14,Moderate,54,Park,16.67,31.20,5.78,49.57,3.78,2.89,1.87,52.66,0.00,38.59,4.22,2.66,22,0.793,2.452,11,0.732,1.756,11,0.736,1.764
2,17.31,None,54,Park,15.75,37.44,13.25,34.59,3.75,3.88,0.00,52.17,0.86,28.53,6.04,12.41,20,0.773,2.314,10,0.704,1.620,10,0.705,1.624
2,18.32,None,29,Park,16.88,32.33,4.75,42.82,3.43,3.00,4.49,37.44,1.33,41.82,1.06,13.86,22,0.740,2.288,11,0.688,1.649,11,0.650,1.558
3,20.85,None,29,Logging,12.44,29.39,9.78,36.62,3.75,2.75,12.93,59.29,0.56,19.85,3.66,3.71,19,0.681,2.006,8,0.559,1.162,11,0.619,1.484
4,15.95,None,29,Park,17.13,36.00,13.25,41.52,3.88,3.25,0.00,52.62,1.00,41.34,2.52,2.53,20,0.811,2.431,8,0.799,1.660,12,0.736,1.829
5,17.47,None,29,Park,16.50,29.22,12.88,44.07,2.50,3.00,2.48,38.64,0.00,43.29,1.83,13.75,22,0.786,2.429,10,0.771,1.775,12,0.694,1.725
6,24.06,None,29,Park,14.75,31.22,8.38,51.22,4.00,2.38,3.78,42.66,1.11,46.25,3.10,3.10,23,0.818,2.566,11,0.801,1.920,12,0.776,1.928
7,19.81,None,54,Logging,13.25,32.56,8.38,41.94,4.00,2.71,6.17,33.85,0.43,49.53,1.26,8.76,19,0.757,2.229,11,0.687,1.647,8,0.790,1.642
8,5.78,High,25,Neither,12.63,23.67,5.13,45.21,3.00,3.25,0.00,73.06,2.20,20.02,4.37,0.34,19,0.773,2.276,11,0.784,1.880,8,0.821,1.707
9,5.13,High,73,Logging,16.00,27.11,9.75,69.30,3.25,3.13,0.00,85.01,0.00,5.84,6.31,2.36,19,0.668,1.966,9,0.573,1.258,10,0.783,1.802
13,6.61,Moderate,46,Logging,12.38,23.44,7.00,43.73,3.50,3.00,1.83,74.40,0.99,18.69,2.97,1.12,21,0.746,2.270,11,0.669,1.603,10,0.734,1.691
14,8.23,Moderate,56,Logging,15.75,30.22,14.13,52.12,3.57,2.86,0.46,66.56,0.52,26.66,4.54,1.27,22,0.699,2.161,11,0.701,1.681,11,0.861,2.065
15,2.70,High,46,Neither,10.88,25.44,9.25,54.77,3.13,3.38,0.00,85.03,0.29,9.09,3.74,1.86,19,0.765,2.254,11,0.712,1.708,8,0.755,1.570
16,6.10,Moderate,36,Logging,14.63,39.11,11.88,38.10,3.75,3.13,0.00,72.99,0.36,23.12,3.27,0.26,22,0.690,2.134,13,0.569,1.459,9,0.657,1.445
17,3.83,High,19,Neither,14.25,32.56,16.38,57.71,3.25,2.88,0.00,57.82,0.00,37.75,3.19,1.04,20,0.817,2.448,11,0.776,1.860,9,0.746,1.640
18,18.85,None,17,Logging,11.75,37.00,12.25,42.92,3.29,3.14,0.51,57.41,2.30,35.13,2.09,2.56,20,0.789,2.363,11,0.765,1.833,9,0.692,1.520
19,13.96,Moderate,54,Logging,14.88,35.00,12.00,44.52,3.43,2.43,0.00,67.25,0.36,27.71,3.64,1.04,15,0.808,2.188,8,0.770,1.602,7,0.708,1.378
20,6.61,Moderate,24,Logging,13.25,26.89,10.50,41.10,3.63,3.00,0.00,57.97,0.00,39.40,1.25,1.37,16,0.819,2.269,10,0.742,1.708,6,0.841,1.507
21,5.14,High,24,Neither,16.25,34.89,15.38,50.36,3.13,2.63,4.21,68.15,0.77,21.46,5.41,0.00,19,0.833,2.452,9,0.824,1.810,10,0.742,1.708
22,5.33,High,13,Logging,17.13,41.56,13.38,39.31,3.25,3.13,0.00,55.55,0.00,38.43,2.97,3.05,22,0.766,2.369,10,0.604,1.390,12,0.764,1.898
24,26.76,None,29,Park,16.75,37.33,10.00,44.21,3.88,2.88,4.91,31.56,0.00,54.12,1.29,8.12,24,0.785,2.496,12,0.808,2.008,12,0.728,1.810
25,15.02,Moderate,54,Logging,15.00,26.83,12.60,76.48,3.40,3.40,1.28,62.04,0.00,23.94,3.97,8.77,20,0.774,2.319,10,0.643,1.482,10,0.841,1.938
26,11.21,Moderate,73,Logging,18.75,39.11,16.00,35.58,3.38,2.88,3.92,55.03,0.00,34.95,1.92,4.17,21,0.778,2.368,11,0.700,1.679,10,0.731,1.682
27,2.92,High,13,Logging,12.38,47.56,12.88,28.45,3.33,3.50,0.24,68.25,0.00,25.58,4.05,1.88,19,0.809,2.381,10,0.747,1.720,9,0.835,1.834